profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m
combined_harsh,cooling_supply_x150,a10_minimax_v07,3.5320928542945684,4.518390032997919,4.6652404290874365,0.0007379128694806948,0.00290578554780777,0.8166666666666667,0.19368749999999993,0.9959603343733874,0.9592441494283092,0.0,0.0,0.325,0.0,0.475,0.6,0.3615898719154842,1.0996321891440122,0.79326006716416,-0.06667831630882329
combined_moderate,supply_x150,a10_minimax_v07,3.0680318581353676,3.8522435243536006,3.964368699491586,0.0,0.0,0.0,0.0,1.0325682602913366,1.0025705382628183,0.0,0.0,0.0,0.0,0.0,0.0,0.3431043029914166,0.9966223789784561,0.7942973796239946,0.15583731290735478
heat_125,supply_x125,a10_minimax_v07,2.3610002625420132,3.1814053440694146,3.3544730889132857,0.0,0.0,0.0,0.0,1.0506472890733947,1.0305199789307145,0.0,0.0,0.0,0.0,0.0,0.0,0.27121780602146583,0.9593033740126183,0.7942905948932208,0.29404551495113623
heat_150,cooling_supply_x150,a10_minimax_v07,2.25903080237462,2.9740544023021873,3.1765247000699404,9.407016783744742e-05,0.000754129369709049,0.25,0.1100208333333333,1.0412977940949801,1.024680540866882,0.0,0.0,0.25833333333333336,0.0,0.0,0.0,0.25179490103492025,1.0734006748250267,0.7933900985612926,0.48651904660553263
noise_disturbance,supply_x125,a10_supply_priority_v06,3.7349204388316477,4.595139176311353,4.760553433185769,0.0,0.0,0.0,0.0,1.1563984639289837,1.1260487092996636,0.0,0.0,0.0,0.0,0.0,0.0,0.3590150263497614,0.948999853450924,0.8299072883306903,0.2527529009443594
supply_stress,supply_x125,a10_supply_priority_v06,2.413734014032801,3.1999295499735765,3.385824101800398,0.0,0.0,0.0,0.0,1.1522659705383116,1.1025727126812601,0.0,0.0,0.0,0.0,0.0,0.0,0.3373205844285386,0.9464108058803458,0.8294891244080813,0.15436302595540283
