profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m
combined_harsh,baseline,a10_minimax_v07,8.856020635627116,16.362727165974874,19.698416176001523,0.05178198938866759,0.12011375814726832,0.9916666666666667,0.43762499999999993,0.9447372824502549,0.9138349941424526,0.0,0.0,0.225,0.0,0.9333333333333333,0.9583333333333334,0.35306211439269575,1.0899292071956603,0.7929385520601472,-0.7654434332327784
combined_harsh,cooling_supply_x125,a10_minimax_v07,4.319484082556944,6.839649990143606,7.9931135602117696,0.0077616454554854915,0.0254292710211089,0.95,0.311298611111111,0.9725395188140733,0.9375801138386707,0.0,0.0,0.325,0.0,0.7583333333333333,0.8,0.35676332095163127,1.0981268705878018,0.7931055058861628,-0.37203926262099896
combined_harsh,cooling_supply_x125_impulse_x105,a10_minimax_v07,4.3657776251705895,6.993894578703681,7.8709578238386655,0.009040836022429992,0.028575597045513743,0.9333333333333333,0.2967916666666666,1.0154912005271866,0.9793910596115278,0.0,0.0,0.325,0.0,0.8083333333333333,0.31666666666666665,0.3565239243814941,1.0822683048381467,0.7930112511298115,-0.3801317895429603
combined_harsh,cooling_supply_x150,a10_minimax_v07,3.5320928542945684,4.518390032997919,4.6652404290874365,0.0007379128694806948,0.00290578554780777,0.8166666666666667,0.19368749999999993,0.9959603343733874,0.9592441494283092,0.0,0.0,0.325,0.0,0.475,0.6,0.3615898719154842,1.0996321891440122,0.79326006716416,-0.06667831630882329
combined_harsh,cooling_x125,a10_minimax_v07,9.18440003043538,16.745378053873953,20.311039738655566,0.05442921584467239,0.12263927111507221,0.9916666666666667,0.4311249999999999,0.9453599095383819,0.9147279259088964,0.0,0.0,0.18333333333333332,0.0,0.9416666666666667,0.9583333333333334,0.35929180627426804,1.078331207300494,0.7931019178232682,-0.7804538878499911
combined_harsh,cooling_x150,a10_minimax_v07,9.490767874590233,17.270523902091124,20.702394119480804,0.057056483884049464,0.12719742274323362,1.0,0.4239305555555555,0.9459988742566577,0.9154300633088892,0.0,0.0,0.125,0.0,0.975,0.975,0.365752702190319,1.0674444526923292,0.7932553377634614,-0.78943393382929
combined_harsh,impulse_margin_x105,a10_minimax_v07,9.633853033533335,17.730320257640297,20.493910222309555,0.061812438193927836,0.13650941322806653,0.9833333333333333,0.43249999999999994,0.9870851214448636,0.9561409090519739,0.0,0.0,0.225,0.0,0.9666666666666667,0.8166666666666667,0.35289059480028134,1.0765115074129965,0.7928431137753522,-0.7988643150454318
combined_harsh,supply_x125,a10_minimax_v07,4.218073531461356,6.59536783384191,7.658525497553562,0.007291018291845184,0.023832481477525397,0.9416666666666667,0.33097222222222217,0.9717992230294509,0.936913345676,0.0,0.0,0.38333333333333336,0.0,0.7583333333333333,0.8416666666666667,0.35211217253295285,1.1086268401892008,0.7929422227518895,-0.35473539776707075
combined_harsh,supply_x150,a10_minimax_v07,3.4637161966951444,4.282913282719946,4.479519048450615,0.0008833426026858671,0.003820663172201457,0.825,0.24721527777777777,0.9955870022910208,0.9588567700704055,0.0,0.0,0.4,0.0,0.4166666666666667,0.575,0.3533975610456113,1.1185331430610987,0.7929434807699705,-0.05928872296029302
combined_moderate,baseline,a10_supply_priority_v06,3.4323541609997177,4.542388049499077,5.226607399277894,0.0011883983824192731,0.006491615657114619,0.7166666666666667,0.2614930555555555,1.0940330915541652,1.0434490619959533,0.0,0.0,0.375,0.0,0.5833333333333334,0.0,0.380597245835828,1.102519185345365,0.8286639216911076,-0.12755827321887242
