profile,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,mean_C_U,mean_C_R,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,min_final_I
nominal_retest,power_only,0.5257292062582735,0.8219189489612484,0.9881475102669888,0.00047899040904733544,0.0021192257483812985,0.695,0.08902499999999992,1.1735350592333176,0.46507747038671965,7.696293425523919,0.0,0.0,0.25,0.0,0.565,0.0,0.5190178235327111,1.0946714209901585,0.8518432591739649,-0.07773713673280822,1.145923636480119
nominal_retest,lqr_like,2.6125834849525154,3.7548026240870636,3.9574663974029547,7.538002971295515e-05,0.0004843518994678969,0.47,0.09539999999999996,1.214797454975522,0.647024342935635,49.51281226788186,0.0,0.0,0.245,0.0,0.305,0.0,0.39912305298763817,1.0566034481301667,0.9069569003204051,0.018925754379085183,1.1893693734357438
nominal_retest,a10_barrier_v03,2.1956572599417274,3.109939185821235,3.493864860767961,5.522543387550819e-06,5.4613388208586907e-05,0.13,0.030429166666666653,1.1967226669253987,0.6340490145049269,41.36590405403974,0.0,0.0,0.145,0.0,0.0,0.0,0.3665711745553305,1.038958328734021,0.8530738213869101,0.36872299302623135,1.1786764646952723
nominal_retest,a10_thermal_v04,2.4335295734883284,3.32466968661364,3.697719334578213,0.0,0.0,0.0,0.0,1.173381830732259,0.7020248914915365,45.86249190380042,0.0,0.0,0.0,0.0,0.0,0.0,0.3473654962671477,0.9707726697691407,0.8429294745269865,0.24854375335725357,1.150628256744882
nominal_retest,a10_adaptive_v06,2.4403311247251067,3.3180544313352045,3.712460077333026,0.0,0.0,0.0,0.0,1.1608817765962907,0.7438073160964254,45.831393230116426,0.0,0.0,0.0,0.0,0.0,0.0,0.33765263664307343,0.9541086997540992,0.8294917173139289,0.2560009576430001,1.1362451902205433
nominal_retest,a10_supply_priority_v06,2.4444076681160856,3.317287512184246,3.706416329606661,0.0,0.0,0.0,0.0,1.1595570966593918,0.7514837888095756,45.88221820708341,0.0,0.0,0.0,0.0,0.0,0.0,0.3373226829916166,0.9485594293876016,0.8294896299722421,0.2195141442246045,1.1250666029162033
nominal_retest,a10_supervisor_v07,2.419678665840076,3.1759118119295215,3.5039147440419995,3.130608239205874e-07,3.130608239205874e-07,0.045,0.0012333333333333285,1.087083404579703,0.7383047786041486,45.439728080737076,0.0,0.0,0.0,0.0,0.05,0.0,0.3164500079871929,0.8487297821560728,0.7954515452121866,0.11070928171627202,1.029600226627678
nominal_retest,a10_supervisor_refined_v07,2.4396265442739815,3.193076376861458,3.5165207215268195,3.0903610102201053e-07,3.0903610102201053e-07,0.045,0.0012333333333333285,1.0872275908642186,0.7480882288088395,45.799559898042226,0.0,0.0,0.0,0.0,0.05,0.0,0.3139440127491264,0.8476301036388365,0.7954515452121866,0.11085544004491206,1.0297526852211876
nominal_retest,a10_minimax_v07,2.4960764119818837,3.1804340619538083,3.4721880427558043,1.3845604660896394e-06,1.384560466089639e-05,0.09,0.003416666666666657,1.0614733192692063,0.8746923305724731,46.419989796415614,0.0,0.0,0.0,0.0,0.1,0.0,0.29687088989546273,0.8116209802063956,0.7955062053420456,0.09298294185692917,1.0053410880574707
growth_125,power_only,0.5494392208992158,0.8845158994334131,1.1315769142366585,0.0007215151498975426,0.0029056299817620565,0.81,0.1361499999999999,1.1653187981069002,0.4603520161291614,7.7043460536725865,0.0,0.0,0.515,0.0,0.565,0.0,0.7177473147372132,1.2224531946759174,0.8518502291528502,-0.07258567437560244,1.1295020288762314
growth_125,lqr_like,2.624694830583947,3.7739846088848843,3.971216951500005,0.0001410967261488863,0.0008416606460810111,0.55,0.12229583333333328,1.2042109334553996,0.6616499544335306,49.565103341647045,0.0,0.0,0.335,0.0,0.305,0.0,0.5293042058796296,1.1098691016733118,0.9064789733639518,0.01933274430668667,1.1727519577060186
growth_125,a10_barrier_v03,2.337323873427211,3.260638216401343,3.6431064158259394,4.115353601794109e-05,0.00035106889623426677,0.29,0.06864166666666664,1.1928180696256112,0.6676880118935253,43.99341834893425,0.0,0.0,0.3,0.0,0.0,0.0,0.47343760305713667,1.0825206479838279,0.8530583808823409,0.36870949031403233,1.173590305175292
growth_125,a10_thermal_v04,2.566854689656268,3.4628619575147987,3.8175321037514145,2.557852571162564e-09,2.557852571162564e-09,0.005,0.0002208333333333329,1.1692762369043646,0.7394930875885481,48.37911632706602,0.0,0.0,0.005,0.0,0.0,0.0,0.4478714708669504,1.0058561636178767,0.8429274720041627,0.2518304101070312,1.1457851720155536
growth_125,a10_adaptive_v06,2.574924054631587,3.45794342797833,3.834268471644716,0.0,0.0,0.0,0.0,1.1573451976000722,0.7845023208063436,48.36047180940637,0.0,0.0,0.0,0.0,0.0,0.0,0.4357106699949643,0.9878802442035794,0.8294903370113956,0.25725251210301836,1.1329358591651226
growth_125,a10_supply_priority_v06,2.579501207551191,3.458888349584968,3.8288146622414163,0.0,0.0,0.0,0.0,1.156002758158933,0.792942653250328,48.4182535380225,0.0,0.0,0.0,0.0,0.0,0.0,0.43526286338742565,0.9807635657773918,0.8294882497280884,0.22379495772477195,1.1217141621121622
