profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,cooling_scale,supply_scale,impulse_scale,resource_score
combined_moderate,C1.10_S1.60_I1.00,a10_minimax_v07,3.069534203107175,3.92064735617815,4.027959873218846,0.0,0.0,0.0,0.0,1.04456871887056,1.0172386177912818,0.0,0.0,0.0,0.0,0.0,0.0,0.36635935635181016,0.9572679853919264,0.7945954893154943,0.25739361605079314,1.1,1.6,1.0,0.7000000000000002
combined_moderate,C1.20_S1.50_I1.03,a10_minimax_v07,3.11658945158847,3.9646483947998874,4.016578109453458,1.0196843770919941e-08,1.0196843770919941e-08,0.0125,0.00015624999999999876,1.0654159607751612,1.03087461136817,0.0,0.0,0.0,0.0,0.0125,0.0,0.3653488710564196,0.9496802690970242,0.7945898953774608,0.13836157475483965,1.2,1.5,1.03,0.7224999999999999
combined_moderate,C1.10_S1.60_I1.03,a10_minimax_v07,3.0693488031182667,3.921033535588495,4.026214258464501,0.0,0.0,0.0,0.0,1.0759156429714751,1.047845226540876,0.0,0.0,0.0,0.0,0.0,0.0,0.3663641386648443,0.9572654444697818,0.7945267009084189,0.2585779940453549,1.1,1.6,1.03,0.7225000000000001
combined_moderate,C1.20_S1.50_I1.05,a10_minimax_v07,3.1170160195209116,3.965233451983675,4.016813376123603,6.888527454606678e-09,6.888527454606678e-09,0.0125,0.00015624999999999876,1.086040988551996,1.050720461066132,0.0,0.0,0.0,0.0,0.0125,0.0,0.365349468381335,0.9496468855778922,0.7945485011251999,0.13994849931766987,1.2,1.5,1.05,0.7375
combined_moderate,C1.10_S1.60_I1.05,a10_minimax_v07,3.069583456343178,3.9219037472932117,4.026910023005114,0.0,0.0,0.0,0.0,1.0967980014537642,1.0681445915312302,0.0,0.0,0.0,0.0,0.0,0.0,0.3663658323829513,0.9572056414777294,0.7944887841565599,0.25693773383195784,1.1,1.6,1.05,0.7375000000000003
combined_moderate,C1.00_S1.75_I1.00,a10_minimax_v07,3.002900939386084,3.8500403537344727,4.031467218124638,0.0,0.0,0.0,0.0,1.053631931722663,1.0356205512041534,0.0,0.0,0.0,0.0,0.0,0.0,0.36572801844752895,0.9646487122251972,0.7945260686949219,0.4368473497142505,1.0,1.75,1.0,0.75
combined_moderate,C1.00_S1.75_I1.03,a10_minimax_v07,3.0027206465973713,3.8488111440840953,4.025961309630029,0.0,0.0,0.0,0.0,1.0852353524573164,1.0666305449050013,0.0,0.0,0.0,0.0,0.0,0.0,0.3657356871890405,0.96461960794557,0.7944608303331169,0.4376734876049761,1.0,1.75,1.03,0.7725
combined_moderate,C1.00_S1.75_I1.05,a10_minimax_v07,3.003151712565585,3.848410848251516,4.024676040748006,0.0,0.0,0.0,0.0,1.106296682461378,1.0872635026920745,0.0,0.0,0.0,0.0,0.0,0.0,0.36573867996815207,0.964535217372154,0.7944225139114275,0.4379989161135455,1.0,1.75,1.05,0.7875000000000001
combined_moderate,C1.20_S1.60_I1.00,a10_minimax_v07,3.1007610214116346,3.9691799043307,4.0573816688203825,0.0,0.0,0.0,0.0,1.0452036684812236,1.018016580007132,0.0,0.0,0.0,0.0,0.0,0.0,0.36835882905193795,0.950083100133937,0.7946671766721451,0.25494613764714713,1.2,1.6,1.0,0.8
combined_moderate,C1.30_S1.50_I1.00,a10_minimax_v07,3.150569145320708,3.997781190374181,4.0448123427710225,7.547147989628575e-09,7.547147989628575e-09,0.0125,0.00015624999999999876,1.0348934412366304,1.0001476323375347,0.0,0.0,0.0,0.0,0.0125,0.0,0.36736508769797166,0.9423776530161353,0.794735354893999,0.13986429192071476,1.3,1.5,1.0,0.8
