profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,cooling_scale,supply_scale,impulse_scale,resource_score
combined_harsh,C2.00_S1.75_I1.05,a10_minimax_v07,3.4784854356313226,4.354981377817974,4.6909327146766255,3.414086151175464e-05,0.00030321221305163593,0.2875,0.07935416666666664,1.0810736087288544,1.052342116586759,0.0,0.0,0.3,0.0,0.0,0.0,0.3972687689135839,1.0596614828723478,0.7922553789176741,0.24050530633142725,2.0,1.75,1.05,1.7875
combined_harsh,C2.00_S1.75_I1.03,a10_minimax_v07,3.4699809375486645,4.3540881352332015,4.689046233067554,4.035027257131271e-05,0.00035048587500132984,0.3125,0.08332291666666664,1.0609077922504764,1.033476994613502,0.0,0.0,0.3125,0.0,0.0,0.0,0.39727514299444633,1.0634678213414708,0.7923071875774857,0.24042785337510958,2.0,1.75,1.03,1.7725
combined_harsh,C2.00_S1.75_I1.00,a10_minimax_v07,3.45846608621743,4.354302064441081,4.687583171613654,4.7982794434138464e-05,0.00040210150323759437,0.325,0.08722916666666665,1.030486708281823,1.0050417940995184,0.0,0.0,0.325,0.0,0.0,0.0,0.39731319994841746,1.0678051221119076,0.7929426678029304,0.2392520405353431,2.0,1.75,1.0,1.75
combined_harsh,C2.00_S2.00_I1.00,a10_minimax_v07,3.4042008264926826,4.281954404888531,4.625943760756742,5.3909248667390093e-05,0.00044089579061071856,0.35,0.09145833333333331,1.040816907315534,1.0243384458523708,0.0,0.0,0.35,0.0,0.0,0.0,0.4039994265151307,1.0679250384586336,0.7929440018970931,0.5474648364322376,2.0,2.0,1.0,2.0
combined_harsh,C2.00_S2.00_I1.03,a10_minimax_v07,3.4161711550719858,4.281767453013552,4.625808470124801,4.720877461199422e-05,0.0003923951752309576,0.35,0.08968749999999996,1.0717734539493589,1.0541818118880948,0.0,0.0,0.35,0.0,0.0,0.0,0.40399538843899924,1.0637689475459857,0.7923073037576204,0.5461430734565302,2.0,2.0,1.03,2.0225
combined_harsh,C2.00_S2.00_I1.05,a10_minimax_v07,3.425298945271494,4.282785920931326,4.625723956419414,4.149099066035041e-05,0.00035009578055552394,0.35,0.08762499999999998,1.0923394912883835,1.0739235054680538,0.0,0.0,0.35,0.0,0.0,0.0,0.40399616890491274,1.0601448499872754,0.7922554950875789,0.5462536110778784,2.0,2.0,1.05,2.0375
combined_harsh,C1.75_S1.75_I1.00,a10_minimax_v07,3.399480141852986,4.237153036928241,4.486496747360549,0.0001305769256036002,0.0009025139337777875,0.3625,0.13253125,1.030049400801854,1.0085725290574576,0.0,0.0,0.3625,0.0,0.0,0.0,0.39308984320184986,1.08532480712246,0.792554108412264,0.24271129667855632,1.75,1.75,1.0,1.5
combined_harsh,C1.75_S1.75_I1.03,a10_minimax_v07,3.4136564331783488,4.235815146270469,4.487040395639856,0.00011061538545921406,0.0007920703189330738,0.3625,0.13094791666666664,1.060278070708041,1.0357407059980908,0.0,0.0,0.3625,0.0,0.0,0.0,0.39311223579375937,1.0795729608732219,0.7921025884378743,0.243238958597809,1.75,1.75,1.03,1.5225
combined_harsh,C1.75_S1.75_I1.05,a10_minimax_v07,3.4231574135385197,4.235858440559795,4.488197655528558,9.544990880791135e-05,0.0007035842911429334,0.3625,0.12869791666666663,1.0802927075052184,1.0547245338884255,0.0,0.0,0.3625,0.0,0.0,0.0,0.3931284140406935,1.0752608190726314,0.7920625743818057,0.2421339165649106,1.75,1.75,1.05,1.5375
combined_harsh,C1.75_S2.00_I1.03,a10_minimax_v07,3.366129737141155,4.165071037506426,4.410996734314757,0.00012486928907272545,0.0008648885312146904,0.3625,0.13210416666666663,1.0697217869631563,1.052907006449587,0.0,0.0,0.375,0.0,0.0,0.0,0.39958401458503484,1.079959406598593,0.7921026875842417,0.5493556320113756,1.75,2.0,1.03,1.7725
