profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,cooling_scale,supply_scale,impulse_scale,resource_score
combined_harsh,C2.00_S1.75_I1.05,a10_minimax_v07,3.4784854356313226,4.354981377817974,4.6909327146766255,3.414086151175464e-05,0.00030321221305163593,0.2875,0.07935416666666664,1.0810736087288544,1.052342116586759,0.0,0.0,0.3,0.0,0.0,0.0,0.3972687689135839,1.0596614828723478,0.7922553789176741,0.24050530633142725,2.0,1.75,1.05,1.7875
combined_moderate,C1.00_S1.60_I1.00,a10_minimax_v07,3.0394322356554335,3.878439891432663,4.0068480928574255,0.0,0.0,0.0,0.0,1.0439845055466548,1.0165587983085498,0.0,0.0,0.0,0.0,0.0,0.0,0.36434598113963207,0.9645306330961557,0.7945258262233609,0.2620411530476263,1.0,1.6,1.0,0.6000000000000001
heat_150,C2.00_S1.10_I1.00,a10_minimax_v07,2.383568177830134,3.3358014456632468,3.4605393340605155,4.5496899486626314e-07,4.5496899486626314e-07,0.0625,0.014281249999999995,1.03485926708175,1.007086885702902,0.0,0.0,0.0625,0.0,0.0,0.0,0.271662843468134,1.0127169441801327,0.7931690553164371,0.15602913750714895,2.0,1.1,1.0,1.1
