profile,controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R,fail_p,fail_a,fail_h,fail_phi,fail_m,fail_I
nominal_retest,no_control,5000,0.12073132207988829,4.551322079888289e-05,0.1757142857142857,0.0,1,0.8904087581073773,0.3340792781292449,1.0284726773197583,0.002047611608045892,0.9402152709502467,1.2680592901415397,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5001,0.4414489374376673,0.0032526893743766725,0.5128571428571429,0.0,1,0.8904933648830287,0.35087607384528324,1.1222211624534384,0.0021214849510097634,0.9402152709502467,1.2632527700752771,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5002,0.7600864681639661,0.00643906468163966,0.6014285714285714,0.0,1,0.8905250239655517,0.4190311222572091,1.165808943562583,0.0018652060039579014,0.9402152709502467,1.2645933461948988,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5003,0.11618,0.0,0.0,0.0,0,0.89055415932499,0.40761952313040234,0.9789045925358745,0.002161240625191302,0.9402152709502467,1.263658088811691,0.5809,2.524354896707235e-28,0,0,0,0,0,0
nominal_retest,no_control,5004,0.1368232934446686,0.00020643293444668593,0.3471428571428571,0.0,1,0.8904388570734959,0.32260226113772555,1.0421209819516053,0.0019522309838285925,0.9402152709502467,1.2635225600390119,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5005,0.14142035258644547,0.00025240352586445463,0.2785714285714285,0.0,1,0.8904806036969894,0.3466828264639426,1.0512561534003275,0.0020702197309685356,0.9402152709502467,1.2634238329909735,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5006,0.2524505768490804,0.001362705768490804,0.35571428571428565,0.0,1,0.8907351684575462,0.4919832361787321,1.1134149431053275,0.002198851457072727,0.9402152709502467,1.2597884512118858,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5007,0.11618,0.0,0.0,0.0,0,0.8907385220982337,0.5083042588687415,0.9768393509113609,0.0016594158858859172,0.9402152709502467,1.2584230811590613,0.5809,2.524354896707235e-28,0,0,0,0,0,0
nominal_retest,no_control,5008,0.12120838403260947,5.028384032609469e-05,0.11857142857142855,0.0,1,0.8906391867317094,0.43787060900355845,1.036679229421917,0.0019217825515632657,0.9402152709502467,1.2597018271610612,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5009,0.4347539960221153,0.003185739960221153,0.5357142857142857,0.0,1,0.8904367226185731,0.35937308252663475,1.1236186288376802,0.0017349012622415762,0.9402152709502467,1.2652920850519456,0.5809,2.524354896707235e-28,0,0,1,0,0,0
nominal_retest,no_control,5010,0.11618,0.0,0.0,0.0,0,0.8905003474833201,0.3982765109601718,0.9362198558980225,0.002077180978729223,0.9402152709502467,1.2656456122751691,0.5809,2.524354896707235e-28,0,0,0,0,0,0
nominal_retest,no_control,5011,0.11765318911100203,1.4731891110020316e-05,0.08428571428571424,0.0,1,0.8905135554596619,0.4125450399713291,1.0230136936090704,0.0018226615300907271,0.9402152709502467,1.2644739468295283,0.5809,2.524354896707235e-28,0,0,1,0,0,0
