profile,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,mean_C_U,mean_C_R,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,min_final_I
combined_harsh,a10_thermal_refined_v04,4.500210502780351,7.574628261556884,8.070669285080104,0.014883100551010576,0.043357597643925015,1.0,0.6899999999999997,1.1200558429855383,1.1328687087732185,55.70653411849299,0.0,0.0,1.0,0.0,0.5666666666666667,0.0,0.39697386763558257,1.3055474046932949,0.8411124490546397,-0.10285899807415773,1.0966067165158584
combined_harsh,a10_thermal_v04,4.512815672589192,7.574452268295083,8.079658910551277,0.014957653099329902,0.04341663479885402,1.0,0.6899999999999997,1.1199797573224004,1.1185441302718788,55.86683073203652,0.0,0.0,1.0,0.0,0.5666666666666667,0.0,0.4007138121233637,1.3064362307950046,0.8411124490546397,-0.10283605203210332,1.0965592538826385
combined_harsh,power_only,12.226446834086573,22.906192092867624,23.73220655743574,0.11738870890854035,0.2231964844505063,1.0,0.7322857142857143,1.099891592222185,0.3893711121844954,8.194034415912805,0.0,0.0,1.0,0.0,1.0,0.0,0.7383010990471223,1.5890746454324758,0.853295472259948,-0.8454468374909659,1.053948462770009
combined_harsh,a10_barrier_v03,5.889995434497707,10.511311236401696,11.118771312492825,0.029802733767457828,0.07341119356230598,1.0,0.7368571428571429,1.1473122693807298,0.8936532967554089,54.619827968016835,0.0,0.0,1.0,0.0,0.5666666666666667,0.0,0.440232267635793,1.3917443895166246,0.8517915733677571,-0.12458019631829041,1.1231985794279238
combined_harsh,a10_v01,11.885696643308327,20.955494666004583,21.32475914180785,0.08049385485781356,0.16094940961941248,1.0,0.7475238095238095,1.1266249434835942,0.7664725731558271,73.66033285791606,0.0,0.0,1.0,0.0,1.0,0.0,0.4265317114455845,1.311868492423007,0.8662148805354641,-0.7693519832877562,1.0894230184033291
combined_harsh,lqr_like,11.994084943326246,23.21642531295433,23.893181466877532,0.09036158151475138,0.19256781842056225,1.0,0.768952380952381,1.15487446415433,0.7001613036483537,56.35789062242883,0.0,0.0,1.0,0.0,0.9666666666666667,0.0,0.5465894186528872,1.459708033137009,0.8979005949172311,-0.7141365456397869,1.1180219276166177
combined_harsh,cooling_only,15.691134518011435,33.622134613806196,36.73784358118025,0.15120753489381775,0.3306059321191557,1.0,0.7794285714285714,1.2550188305270227,1.0289415680378073,7.291854300441964,0.0,0.0,1.0,0.0,0.0,0.0,0.7614027429806676,2.0414970313254672,0.8914419109906226,0.9183273761318599,1.2467807365395251
combined_harsh,pid_damping,17.31482220023187,35.67335225760464,38.87214718045531,0.15868945897011225,0.3423736764558964,1.0,0.7808571428571428,1.2577374758666755,0.6434318034716523,26.34379885052636,0.0,0.0,1.0,0.0,0.0,0.0,0.6494009737571141,1.9838083495316157,0.8911226491716631,0.9183273761318599,1.2507700914868507
combined_harsh,no_control,20.140110402252695,44.349642091292075,47.92487524336004,0.200239304022527,0.4423346209129207,1.0,0.7815238095238096,1.250898350772417,0.5809,2.5243548967072355e-28,0.0,0.0,1.0,0.0,0.0,0.0,0.9213444297205713,2.3295774719132183,0.8919811570506251,0.9183273761318599,1.2385030980634268
combined_moderate,a10_thermal_refined_v04,2.5697372336927087,3.595661306140178,3.803325224917442,0.0009653347519273018,0.00569372506997507,0.5,0.24842857142857142,1.145143519761023,0.9307633396120222,45.741021811551484,0.0,0.0,0.43333333333333335,0.0,0.1,0.0,0.3851838475613201,1.1302074114083007,0.8420653712936463,0.05009989300438572,1.121552115007896
combined_moderate,a10_thermal_v04,2.5539381993732166,3.585525758482239,3.8107416447875373,0.000991561002096655,0.005803145654964914,0.5,0.24942857142857144,1.145030433793379,0.9150445551382326,45.43546376271809,0.0,0.0,0.4666666666666667,0.0,0.1,0.0,0.3881702808052619,1.1320428819621309,0.8420653712936463,0.05006393383740712,1.1214310737453512
combined_moderate,a10_barrier_v03,2.6919955347488886,4.39447225449507,4.820611639245147,0.004429552582928483,0.0181029930001893,0.9333333333333333,0.49438095238095237,1.1735872515306163,0.7582029436376578,41.947993754570156,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.41747440974315153,1.2195832772244903,0.8526556119144465,0.19575223740260225,1.1506153593571466
combined_moderate,a10_v01,3.8209506235233843,6.33698992706898,6.655697290806103,0.008169732623619355,0.023042778994282295,0.9666666666666667,0.49357142857142855,1.1620316166504971,0.6892325870521795,57.32261687502027,0.0,0.0,0.9,0.0,0.7,0.0,0.40310967465630015,1.1702533271842992,0.8675623842930368,-0.2890330623436891,1.1279200448968005
combined_moderate,lqr_like,3.2696254360689596,6.019977590275377,6.448874676686547,0.009831298852527448,0.029452107968773077,0.9666666666666667,0.5627142857142857,1.1832956748300731,0.6717777817536843,43.04279988930957,0.0,0.0,0.9666666666666667,0.0,0.6333333333333333,0.0,0.4806656544204295,1.2550564873770214,0.902329575578688,-0.21181306241320763,1.1521508432026948
combined_moderate,power_only,1.947122648407622,4.720018203190203,4.869838857955737,0.01523394698953708,0.04188137373438741,1.0,0.5034285714285714,1.1367625842349696,0.42654317559883137,6.7683862866829605,0.0,0.0,1.0,0.0,0.8,0.0,0.6353657746231973,1.331536852116638,0.8515860667480855,-0.3550414966612671,1.100702891520634
combined_moderate,cooling_only,4.497254829599044,11.58394575343884,12.968130169578883,0.040116946700175626,0.11056499612188897,1.0,0.6725714285714285,1.2584464968024105,0.8543060267178642,6.293979084758187,0.0,0.0,1.0,0.0,0.0,0.0,0.6500901456171974,1.6066782683399041,0.8910982304808789,0.9276890314526435,1.2523777498241968
combined_moderate,pid_damping,5.377578206082495,12.879615410251366,14.099200494281234,0.042508555782686704,0.11774551820477554,1.0,0.679142857142857,1.2608587306875547,0.6287701455913111,20.01937197391126,0.0,0.0,1.0,0.0,0.0,0.0,0.5446087956216003,1.592471701889648,0.8908541300514395,0.9276890314526435,1.2560655510906058
combined_moderate,no_control,5.580892395674307,14.735531356636551,16.582709575242173,0.05464712395674307,0.14619351356636553,1.0,0.6820952380952381,1.2562637249218958,0.5809,2.5243548967072355e-28,0.0,0.0,1.0,0.0,0.0,0.0,0.7491773552738488,1.7454042349627465,0.8913825695825158,0.9276890314526435,1.248217999399817
growth_125,a10_thermal_v04,1.6303169239148558,2.4859776281634645,2.5584230565279618,0.0,0.0,0.0,0.0,1.1712524486901361,0.7296346032368656,29.68780006534966,0.0,0.0,0.0,0.0,0.0,0.0,0.4381233865418856,0.9895358553344596,0.8428515554907697,0.48567572986086927,1.1477514239590345
growth_125,a10_thermal_refined_v04,1.6465910408297617,2.497433466731568,2.565342640037907,0.0,0.0,0.0,0.0,1.1713427148990756,0.736894650613309,29.984242214142004,0.0,0.0,0.0,0.0,0.0,0.0,0.4351809639679276,0.9875212955305371,0.8428515554907697,0.48552383501610685,1.1478878062960327
growth_125,a10_v01,1.9932511048723838,3.0432978145737053,3.0569016121246984,1.1676109474992985e-05,0.00010665720336067691,0.16666666666666666,0.036809523809523806,1.1985401874961323,0.6446591337796218,37.26303334337919,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.466731346844629,1.0380990467772715,0.868185078706566,0.19307195160333604,1.1675578816094587
growth_125,a10_barrier_v03,1.4106906373699197,2.2384815259313235,2.269053476898013,4.544980443171113e-05,0.00039973533082486405,0.2,0.05461904761904761,1.1943344324278924,0.6626794545106033,25.472195320492563,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.4629567861788681,1.0626449444150103,0.8529455942032257,0.629731490339578,1.1757490875158834
growth_125,power_only,0.34363033876941973,0.5781704282604394,0.6443324357814493,0.0002729124977124475,0.0020365122132998234,0.26666666666666666,0.06919047619047618,1.1673370446760514,0.4626051396744403,4.476361221265738,0.0,0.0,0.3,0.0,0.0,0.0,0.6575516686547154,1.1596281778062851,0.850358718580892,0.15547529527401505,1.1363444782917949
growth_125,lqr_like,1.4950780009862503,2.3832715560056155,2.488788585756542,9.266688092810767e-05,0.000774400906828997,0.26666666666666666,0.07914285714285714,1.2057228588397304,0.661323817978937,27.070930985953037,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.4984804731824243,1.0765043667282903,0.9069062100359951,0.29371477825985415,1.177692924919745
growth_125,pid_damping,1.1380323718169156,2.6836399176083567,2.9344316594354902,0.0038943410588461428,0.01934773710643425,0.8666666666666667,0.32095238095238093,1.260842118402881,0.628791464385715,12.456799461103168,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.5428035962442157,1.2986770891300492,0.8908502983745731,0.9402152709502467,1.256262724325673
