profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,cooling_scale,supply_scale,impulse_scale,resource_score
combined_harsh,C2.50_S1.75_I1.10,a10_minimax_v07,3.6800135148458883,4.709551544255875,5.053916658716512,4.643402655148175e-06,4.643402655148175e-06,0.075,0.015433333333333328,1.1329681702699805,1.1005747477010703,0.0,0.0,0.075,0.0,0.0,0.0,0.4074136170086052,1.0433455401402165,0.7927323909500184,0.22389009108905333,2.5,1.75,1.1,2.325
combined_harsh,C2.50_S1.75_I1.05,a10_minimax_v07,3.665947687480582,4.708229300670928,5.052674943786582,8.129808142456918e-06,8.129807319815898e-05,0.095,0.021112499999999992,1.082338195267685,1.05058719353349,0.0,0.0,0.105,0.0,0.0,0.0,0.40743934458922204,1.0531877508824095,0.7928354886815532,0.22646598836475745,2.5,1.75,1.05,2.2875
combined_harsh,C2.50_S2.00_I1.10,a10_minimax_v07,3.6111466915932913,4.600054317103184,4.96212193136488,5.703977365743591e-06,5.703973761505715e-05,0.1,0.01977916666666666,1.1481574720083783,1.120550074348386,0.0,0.0,0.105,0.0,0.0,0.0,0.4133986205131312,1.044928217254744,0.7927326472625413,0.5329362616507609,2.5,2.0,1.1,2.575
combined_harsh,C2.50_S2.25_I1.10,a10_minimax_v07,3.6106933360489597,4.5986462750001795,4.960391033209449,5.712012650157656e-06,5.7120086489016424e-05,0.1,0.019787499999999993,1.1482021720946802,1.120552096980842,0.0,0.0,0.105,0.0,0.0,0.0,0.41342963644265546,1.0449393458979241,0.7927326512882773,0.5389443041121798,2.5,2.25,1.1,2.825
combined_harsh,C2.50_S2.50_I1.10,a10_minimax_v07,3.6104747436591675,4.597967684795078,4.9593655003634876,5.71567853965998e-06,5.715674352254418e-05,0.1,0.019795833333333325,1.1482236680788247,1.1205528974823054,0.0,0.0,0.105,0.0,0.0,0.0,0.41344413604865754,1.0449439383158348,0.7927326516089039,0.5430211420230968,2.5,2.5,1.1,3.075
combined_harsh,C2.50_S2.00_I1.05,a10_minimax_v07,3.594383727484827,4.600292182098406,4.963818810924443,9.329922431890486e-06,9.328183078343096e-05,0.11,0.023354166666666655,1.0964336470547895,1.0720454744314667,0.0,0.0,0.125,0.0,0.0,0.0,0.41339358537813786,1.0540869374870634,0.7928366475718521,0.5345516403301174,2.5,2.0,1.05,2.5375
combined_harsh,C2.50_S2.25_I1.05,a10_minimax_v07,3.5939350092128604,4.598867323473556,4.961853834489377,9.335836239502472e-06,9.33408617691091e-05,0.11,0.023354166666666655,1.0964746081872312,1.0720463026346165,0.0,0.0,0.125,0.0,0.0,0.0,0.4134263417008492,1.0540913408776282,0.7928366666650584,0.5409079494457777,2.5,2.25,1.05,2.7875
combined_harsh,C2.50_S2.50_I1.05,a10_minimax_v07,3.5937070591534366,4.598180197872991,4.961090176043777,9.338420955240217e-06,9.336666422704648e-05,0.11,0.023354166666666655,1.0964940646748356,1.0720465975138784,0.0,0.0,0.125,0.0,0.0,0.0,0.4134407932646099,1.0540930000275404,0.7928366684890323,0.5448618732502639,2.5,2.5,1.05,3.0375
combined_harsh,C2.50_S1.75_I1.00,a10_minimax_v07,3.653634850535693,4.706187915202105,5.049645276352981,1.1274646774421886e-05,0.00011272083974556424,0.115,0.023816666666666656,1.0313430016586782,1.0024756516758393,0.0,0.0,0.115,0.0,0.0,0.0,0.4074573408647022,1.0617512021667976,0.7935229124023155,0.23017605805968636,2.5,1.75,1.0,2.25
combined_harsh,C2.50_S2.00_I1.00,a10_minimax_v07,3.5803737956059662,4.602007903291249,4.9618600746353385,1.2328621476804107e-05,0.00012317525228246906,0.125,0.025387499999999986,1.0445024501071574,1.0226812225623512,0.0,0.0,0.135,0.0,0.0,0.0,0.4133958392389029,1.0618794221805514,0.793524012646834,0.5328153006309216,2.5,2.0,1.0,2.5
combined_harsh,C2.50_S2.25_I1.00,a10_minimax_v07,3.579909994449921,4.60055555860942,4.960897540990131,1.2333147508973883e-05,0.00012322021434307714,0.125,0.025404166666666655,1.0445408784088708,1.0226815435180003,0.0,0.0,0.135,0.0,0.0,0.0,0.41342698504973413,1.061880889614062,0.7935240312487074,0.5391032174553196,2.5,2.25,1.0,2.75
combined_harsh,C2.50_S2.50_I1.00,a10_minimax_v07,3.579663693198569,4.599808404187445,4.960160244244281,1.2335197213250214e-05,0.0001232405843663969,0.125,0.025404166666666655,1.0445592260558954,1.0226816429609986,0.0,0.0,0.135,0.0,0.0,0.0,0.4134412055613601,1.0618813798820317,0.7935240330282529,0.5433247087408175,2.5,2.5,1.0,3.0
combined_harsh,C2.25_S1.75_I1.10,a10_minimax_v07,3.595213811554132,4.543415939954106,4.876084638474885,1.3158706088925642e-05,0.00013132073621271778,0.13,0.036287499999999986,1.1317113893782846,1.1008714964780981,0.0,0.0,0.135,0.0,0.0,0.0,0.40222756992139425,1.0544057305781587,0.792616980914156,0.22923380993199247,2.25,1.75,1.1,2.075
combined_harsh,C2.25_S1.75_I1.05,a10_minimax_v07,3.578250814857747,4.541381851726065,4.870147532940704,2.2307069000828805e-05,0.00021907158191633702,0.175,0.04601666666666665,1.0814271877713346,1.0508942552169753,0.0,0.0,0.18,0.0,0.0,0.0,0.4022530476178259,1.064790978741193,0.7926932009393047,0.23715240480319347,2.25,1.75,1.05,2.0375
combined_harsh,C2.25_S2.00_I1.10,a10_minimax_v07,3.532826275175,4.4338928114497245,4.792486261412251,1.6830538770803975e-05,0.0001658495243545414,0.18,0.043862499999999985,1.1456287399360412,1.1186331784880832,0.0,0.0,0.18,0.0,0.0,0.0,0.4085878170452818,1.0562576028731692,0.7926172388510022,0.5400644462948669,2.25,2.0,1.1,2.325
combined_harsh,C2.25_S2.25_I1.10,a10_minimax_v07,3.5324125155961803,4.432188185797799,4.790591245117088,1.6850133874362594e-05,0.00016603010579154003,0.18,0.04388749999999999,1.1456675968004384,1.1186357238618068,0.0,0.0,0.18,0.0,0.0,0.0,0.40861844964024896,1.05627176740162,0.7926172428827707,0.5456055671121062,2.25,2.25,1.1,2.575
combined_harsh,C2.25_S2.50_I1.10,a10_minimax_v07,3.5322283552718843,4.431449476907872,4.790054665887133,1.6859124753818684e-05,0.0001661129893861309,0.18,0.04389583333333333,1.1456862207004186,1.1186367532264492,0.0,0.0,0.18,0.0,0.0,0.0,0.4086327438448234,1.056277724823389,0.7926172432044557,0.5494484896925403,2.25,2.5,1.1,2.825
combined_harsh,C2.25_S1.75_I1.00,a10_minimax_v07,3.562073317328478,4.5381749046417115,4.865454187299966,3.069928936169346e-05,0.0002968486582589003,0.2,0.05209583333333331,1.0307068115469387,1.003293223310109,0.0,0.0,0.23,0.0,0.0,0.0,0.40228395469432193,1.0753987368741509,0.7932798460886,0.23569824044489066,2.25,1.75,1.0,2.0
