profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,cooling_scale,supply_scale,impulse_scale,resource_score
heat_150,C2.10_S1.20_I1.00,a10_minimax_v07,2.453552456310654,3.404673572590439,3.6531630265425665,2.9462385019493986e-06,2.9462385019493986e-06,0.05,0.014647222222222218,1.0386031193235017,1.0162786265259807,0.0,0.0,0.056666666666666664,0.0,0.0,0.0,0.27358631355383706,1.0327597205431938,0.7932557450076801,0.18913583930810549,2.1,1.2,1.0,1.3
heat_150,C2.20_S1.10_I1.00,a10_minimax_v07,2.493587514815911,3.454958811781142,3.721519831231833,1.419672723735115e-06,1.419672723735115e-06,0.03333333333333333,0.009349999999999997,1.034277127014432,1.0044450844905919,0.0,0.0,0.02666666666666667,0.0,0.006666666666666667,0.0,0.2743358730279359,1.0267466896522872,0.7933420104981431,0.1324025550825506,2.2,1.1,1.0,1.3000000000000003
heat_150,C2.30_S1.10_I1.00,a10_minimax_v07,2.525016397391732,3.5032631885853136,3.7935560472306222,5.764909517600561e-07,5.764909517600561e-07,0.02666666666666667,0.006305555555555553,1.0344266128881228,1.0037890753651868,0.0,0.0,0.02,0.0,0.006666666666666667,0.0,0.2756642711625705,1.0207031632942702,0.7934269214626004,0.13630809494558258,2.3,1.1,1.0,1.4
heat_150,C2.20_S1.20_I1.00,a10_minimax_v07,2.483568814158982,3.4614392532797313,3.6945837747358836,1.413871230399314e-06,1.413871230399314e-06,0.02666666666666667,0.009249999999999998,1.0389657037517648,1.0166003052068775,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.27502856147382526,1.026749403024124,0.7933420790227234,0.19078685864678874,2.2,1.2,1.0,1.4000000000000001
heat_150,C2.10_S1.30_I1.00,a10_minimax_v07,2.441517713142746,3.3919820427017933,3.648637953585965,2.9473155434231424e-06,2.9473155434231424e-06,0.05,0.014658333333333327,1.0424218692499916,1.0259351539738761,0.0,0.0,0.056666666666666664,0.0,0.0,0.0,0.27373661912328795,1.0327619470840956,0.7932558075032784,0.26265518210449623,2.1,1.3,1.0,1.4000000000000001
heat_150,C2.30_S1.20_I1.00,a10_minimax_v07,2.5148643255024012,3.515344539491435,3.7491122797249794,5.735416978643974e-07,5.735416978643974e-07,0.02,0.006216666666666665,1.0393470644946246,1.0152477331452172,0.0,0.0,0.02,0.0,0.0,0.0,0.2764813335828929,1.0207059051131449,0.7934269895023471,0.19290203477869913,2.3,1.2,1.0,1.4999999999999998
heat_150,C2.40_S1.10_I1.00,a10_minimax_v07,2.5576692207383167,3.554116735316631,3.8790649582079757,1.8821753190048943e-07,1.8821753190048943e-07,0.02,0.003227777777777775,1.0346078712269162,1.0031098596091061,0.0,0.0,0.02,0.0,0.006666666666666667,0.0,0.27701174873615086,1.0146283849087776,0.7935103173330447,0.13672569784179467,2.4,1.1,1.0,1.5
heat_150,C2.20_S1.30_I1.00,a10_minimax_v07,2.4715337419636,3.4531607210699895,3.7032573173316274,1.4144002067098867e-06,1.4144002067098867e-06,0.02666666666666667,0.009249999999999998,1.0429829725173805,1.0262054275570922,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.2751935757077231,1.0267515699346192,0.7933421410833585,0.25948313124577604,2.2,1.3,1.0,1.5000000000000002
heat_150,C2.40_S1.20_I1.00,a10_minimax_v07,2.5471024949706567,3.5689167982277334,3.8517384828465175,1.8518517539036027e-07,1.8518517539036027e-07,0.013333333333333334,0.003138888888888887,1.0397368377268519,1.013784883846786,0.0,0.0,0.02,0.0,0.0,0.0,0.2779251717627273,1.0146311458915143,0.7935103849167972,0.19327304294966008,2.4,1.2,1.0,1.5999999999999999
heat_150,C2.30_S1.30_I1.00,a10_minimax_v07,2.5028113772306155,3.5113861342476675,3.7592409556934046,5.738003372869266e-07,5.738003372869266e-07,0.02,0.006216666666666665,1.0435406508417502,1.0264758537765428,0.0,0.0,0.02,0.0,0.0,0.0,0.2766676116013865,1.020708097826306,0.7934270511494163,0.2565588043456892,2.3,1.3,1.0,1.5999999999999999
