controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R
no_control,1000,0.3362322664740691,0.002200522664740691,0.4641666666666666,0.0,1,0.8905178451211432,0.41615625267282746,1.118675899044094,0.0017929366318249242,0.9402152709502479,1.264326524599332,0.5809,3.1201026523301475e-28
no_control,1001,0.11618,0.0,0.0,0.0,0,0.8906278850787713,0.42569951386367594,0.9455889986460598,0.0018021826056539287,0.9402152709502479,1.258761639121237,0.5809,3.1201026523301475e-28
no_control,1002,0.15789996604753764,0.0004171996604753765,0.27416666666666656,0.0,1,0.89058870630431,0.4232548881476649,1.0699497564612166,0.002091462208837301,0.9402152709502479,1.262155928856214,0.5809,3.1201026523301475e-28
no_control,1003,0.11618,0.0,0.0,0.0,0,0.8905205720453245,0.35578083149139217,0.9846471206449184,0.0022283900863481693,0.9402152709502479,1.2625232680156504,0.5809,3.1201026523301475e-28
no_control,1004,0.11618,0.0,0.0,0.0,0,0.8904687999775244,0.3329642612740956,0.9304875173994447,0.0023210644521093325,0.9402152709502479,1.2653538784976288,0.5809,3.1201026523301475e-28
no_control,1005,0.9541683550824653,0.008379883550824653,0.5791666666666666,0.0,1,0.8905461840309244,0.359335735922147,1.1790616127009472,0.002436250766782536,0.9402152709502479,1.2625251073849137,0.5809,3.1201026523301475e-28
no_control,1006,0.23838443067977602,0.0012220443067977602,0.40083333333333326,0.0,1,0.8904887699196291,0.38635974444057086,1.0920245118743253,0.001910512974907714,0.9402152709502479,1.2647701646259104,0.5809,3.1201026523301475e-28
no_control,1007,0.777986315577462,0.00661806315577462,0.5808333333333333,0.0,1,0.8904948977342115,0.36117972795134573,1.1644930453969835,0.002369038361737983,0.9402152709502479,1.2659079502680035,0.5809,3.1201026523301475e-28
no_control,1008,0.4984006741381536,0.003822206741381536,0.49916666666666665,0.0,1,0.8905527849709871,0.34985379298285707,1.133880637718485,0.002327940250621351,0.9402152709502479,1.260030850270298,0.5809,3.1201026523301475e-28
no_control,1009,0.11618,0.0,0.0,0.0,0,0.8904305447271345,0.3256077934774322,0.980448394501084,0.002134025589243454,0.9402152709502479,1.2661568902542224,0.5809,3.1201026523301475e-28
no_control,1010,0.20170382829742495,0.0008552382829742494,0.3558333333333332,0.0,1,0.8905624358657462,0.35881652651713414,1.0825438309636897,0.002247761103300834,0.9402152709502479,1.2594409208159012,0.5809,3.1201026523301475e-28
no_control,1011,0.26223799377478474,0.001460579937747847,0.4941666666666666,0.0,1,0.8904606100203536,0.37627248247276884,1.0906828243335356,0.001961463201399765,0.9402152709502479,1.266295481035181,0.5809,3.1201026523301475e-28
no_control,1012,0.6996823676762873,0.005835023676762874,0.5641666666666666,0.0,1,0.8906229928965381,0.40201914957526436,1.158976450434958,0.002182136989438079,0.9402152709502479,1.2594489763117729,0.5809,3.1201026523301475e-28
no_control,1013,0.11628727633513282,1.072763351328203e-06,0.025833333333333264,0.0,1,0.8907265844264769,0.5041199295622665,1.0113490774072154,0.0018345323594242552,0.9402152709502479,1.2595801331146919,0.5809,3.1201026523301475e-28
no_control,1014,0.35832434097207627,0.0024214434097207626,0.4541666666666666,0.0,1,0.8905962300832663,0.39927917565516885,1.124142536439275,0.0018280072993342136,0.9402152709502479,1.25854485285272,0.5809,3.1201026523301475e-28
no_control,1015,0.4218886617036545,0.003057086617036545,0.5641666666666666,0.0,1,0.8904434679686373,0.3782499695639852,1.1222098943258938,0.0017559202629461622,0.9402152709502479,1.2661513719000912,0.5809,3.1201026523301475e-28
no_control,1016,0.13169887045894835,0.00015518870458948355,0.2541666666666666,0.0,1,0.8904902029805853,0.3546021847840071,1.0431304759456148,0.0020324488542599246,0.9402152709502479,1.263155908187882,0.5809,3.1201026523301475e-28
no_control,1017,2.1182234016918353,0.020020434016918356,0.6641666666666666,0.0,1,0.8908423704014657,0.5351038845370105,1.3022125065230212,0.0019808166271350056,0.9402152709502479,1.2569512643734302,0.5809,3.1201026523301475e-28
no_control,1018,0.28199700338461453,0.0016581700338461451,0.3691666666666666,0.0,1,0.8907381125926588,0.46091700239883354,1.1198489743673223,0.0021926051876371357,0.9402152709502479,1.2576858942044535,0.5809,3.1201026523301475e-28
no_control,1019,0.14182314323805742,0.00025643143238057416,0.28083333333333327,0.0,1,0.8905918739083607,0.3858824339817457,1.0535815821897265,0.002214288272673073,0.9402152709502479,1.2598925254939797,0.5809,3.1201026523301475e-28
no_control,1020,0.13190133770260498,0.00015721337702604988,0.1891666666666666,0.0,1,0.8907578530568859,0.48620129426929964,1.051852061745337,0.001994306747569754,0.9402152709502479,1.257348962993083,0.5809,3.1201026523301475e-28
no_control,1021,0.11618,0.0,0.0,0.0,0,0.8905229632681984,0.38598580149602074,0.9783513460294989,0.0024163426962569567,0.9402152709502479,1.2659436015194252,0.5809,3.1201026523301475e-28
