controller,mean_L,cvar90_L,worst_L,failure_rate,mean_unsafe_duration,mean_final_I,worst_max_a,worst_max_h,worst_max_p,worst_min_m
power_only,0.487963663018436,0.7655709151267048,0.8181120459059171,0.6083333333333333,0.07390972222222217,1.1740675490355732,0.5286141719607107,1.0782473593803297,0.852008820833725,-0.04142321622994201
cooling_only,0.6623417459865039,1.500893562764168,1.8860148036900601,0.725,0.28254861111111107,1.261918956959576,0.537934110692596,1.2410799959540781,0.8909040050043161,0.9402152709502479
no_control,0.47399894155237976,1.7000339721058797,2.190810529535248,0.85,0.32406944444444435,1.2611239786660056,0.5718927684567042,1.3022125065230212,0.8910202676430368,0.9402152709502479
pid_damping,1.4546335522290288,2.398249490911916,3.1542773350258084,0.6833333333333333,0.29290277777777773,1.2636605341519422,0.43308624609805785,1.2330261466239554,0.8906756003335483,0.9402152709502479
lqr_like,2.4379231181108745,3.62683114063832,3.892989600937448,0.39166666666666666,0.07295138888888886,1.2149994815323908,0.41249524928251835,1.0531440285843165,0.9051196003786114,0.03041975015724352
a10_rpt,2.8715425534574535,4.116127994062251,4.345272942626823,0.36666666666666664,0.031527777777777745,1.2018072980541636,0.3947600111706945,1.0167940353069247,0.8686945531584312,0.004828802560414345
a10_refined,2.9076426852545865,4.150393008573289,4.402195848102161,0.36666666666666664,0.030763888888888855,1.2019343454297986,0.3877473582039928,1.0154329091902417,0.8686945531584312,0.0048553615063419014
